# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 11.1 Build 216 11/23/2011 Service Pack 1 SJ Web Edition
# File: C:\Users\Praveen\Desktop\Display.csv
# Generated on: Thu Mar 22 15:57:11 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
clk,Input,PIN_R8,3,B3_N0,,,,,
cs1,Output,PIN_B4,8,B8_N0,,,,,
cs2,Output,PIN_A3,8,B8_N0,,,,,
lcd_data[7],Output,PIN_B5,8,B8_N0,,,,,
lcd_data[6],Output,PIN_D5,8,B8_N0,,,,,
lcd_data[5],Output,PIN_A6,8,B8_N0,,,,,
lcd_data[4],Output,PIN_D6,8,B8_N0,,,,,
lcd_data[3],Output,PIN_C6,8,B8_N0,,,,,
lcd_data[2],Output,PIN_E6,8,B8_N0,,,,,
lcd_data[1],Output,PIN_D8,8,B8_N0,,,,,
lcd_data[0],Output,PIN_F8,8,B8_N0,,,,,
lcd_e,Output,PIN_E9,7,B7_N0,,,,,
lcd_rs,Output,PIN_E10,7,B7_N0,,,,,
lcd_rw,Output,PIN_D9,7,B7_N0,,,,,
reset,Output,PIN_C3,8,B8_N0,,,,,
